"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-11","11.18",,"0.00","0.0","0.0","51","68","38","  170","  170","23.0","28.0",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-12","17.00",,"0.65","0.0","0.0","62","75","51","  170","  170","31.1","40.9","    1",,"    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-13","13.42",,"0.01","0.0","0.0","56","64","46","  280","  270","28.0","38.0","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-14","6.49",,"0.00","0.0","0.0","56","72","38","  170","  180","15.0","21.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-15","11.18",,"0.00","0.0","0.0","58","70","45","  160","  180","25.1","34.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-16","7.38",,"0.00","0.0","0.0","61","73","52","  140","  250","15.0","18.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-17","5.37",,"0.00","0.0","0.0","64","75","50","  280","   20","12.1","23.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-18","12.30",,"0.07","0.0","0.0","62","73","47","  100","  110","21.0","27.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-19","12.30",,"0.14","0.0","0.0","54","60","45","  320","  310","25.9","34.0","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-20","19.24",,"0.02","0.0","0.0","42","45","36","  320","  330","30.0","38.9","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-21","19.91",,"0.03","0.0","0.0","38","41","34","  310","  290","29.1","38.9","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-22","15.66",,"0.00","0.0","0.0","39","49","32","  310","  320","28.0","38.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-23","6.26",,"0.00","0.0","0.0","42","55","29","  290","  290","16.1","21.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-24","13.87",,"0.34","0.0","0.0","46","52","42","  120","  120","23.0","29.1","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-25","12.53",,"0.00","0.0","0.0","49","62","43","   80","   50","21.9","27.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-26","6.26",,"0.00","0.0","0.0","50","64","36","   60","   20","14.1","23.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-27","3.80",,"0.00","0.0","0.0","55","69","39","  340","  330","15.0","19.0",,,,,,,,
